city,avg_daily_value,median_daily_value,std_daily_value,coeff_variation,weekend_weekday_ratio,peak_month,row_count
NYC,2628716.4313081554,2564067.0,1146997.3202099022,0.4363336062228325,0.5843825294826577,2.0,1827.0
Paris,4127083.0070205,4352888.0,1760598.5218149042,0.4265963439116646,0.5118997052819414,10.0,3561.0
