date,region,source,metric_type,value,day_of_week,is_weekend,month,year,week_of_year,day_of_year,lag_1,lag_7,lag_14,rolling_7_mean,rolling_7_std,rolling_30_mean,rolling_30_std,pct_change_1,zscore_30,city,isolation_flag,is_zscore_anomaly,is_anomaly
2023-12-25,Ile-de-France,idfm_station_daily,validations,1660780.0,0,0,12,2023,52,359,2176638.0,6162584.0,6147418.0,4628830.142857143,2128039.1014240813,5324220.933333334,1623168.7718968636,-0.23699760823802585,-2.2569685893181473,Paris,-1,False,True
2024-07-03,Ile-de-France,idfm_station_daily,validations,757375.0,2,0,7,2024,27,185,769554.0,6294453.0,6282228.0,3161071.1428571427,2492616.915972857,5052449.766666667,1911634.3608180927,-0.015826049893834626,-2.2468076817935883,Paris,-1,False,True
2020-11-01,Ile-de-France,idfm_station_daily,validations,477891.0,6,1,11,2020,44,306,882510.0,1544383.0,1707072.0,2736276.1428571427,1590329.0794619957,3397769.6333333333,1301538.5577141552,-0.4584865893870891,-2.243405403572069,Paris,-1,False,True
2020-01-07,Ile-de-France,idfm_station_daily,validations,3006474.0,1,0,1,2020,2,7,2895579.0,1043617.0,1127384.0,1616053.5714285714,1048289.5062288782,1426415.2666666666,705052.7710312243,0.03829803987389058,2.2410503131876327,Paris,-1,False,True
2020-01-13,Ile-de-France,idfm_station_daily,validations,3592475.0,0,0,1,2020,3,13,966762.0,2895579.0,1358142.0,2510461.285714286,946727.3817200764,1572644.1666666667,905408.9845513628,2.71598697507763,2.230849116583679,Paris,-1,False,True
2024-09-12,Ile-de-France,idfm_station_daily,validations,745544.0,3,0,9,2024,37,256,746348.0,785606.0,863898.0,783117.0,33138.344528205256,820578.8,34144.2843118469,-0.0010772454672619558,-2.197580107835663,Paris,-1,False,True
2020-05-18,Ile-de-France,idfm_station_daily,validations,1137442.0,0,0,5,2020,21,139,423820.0,843231.0,285107.0,911312.0,249767.37277430232,390945.9,340701.6524460191,1.6837855693454769,2.19105512004605,Paris,-1,False,True
2020-03-15,Ile-de-France,idfm_station_daily,validations,1037495.0,6,1,3,2020,11,75,2397351.0,2039026.0,1924174.0,4543024.142857143,1979867.2825305292,4650414.566666666,1653694.825696098,-0.5672327498142742,-2.184755923842153,Paris,-1,False,True
2024-09-13,Ile-de-France,idfm_station_daily,validations,736172.0,4,0,9,2024,37,257,745544.0,794312.0,846333.0,774811.2857142857,36933.52144923248,817068.8333333334,37198.23886693481,-0.012570686639554518,-2.1747490149390343,Paris,-1,False,True
2020-01-20,Ile-de-France,idfm_station_daily,validations,4987980.0,0,0,1,2020,4,20,1578213.0,3592475.0,2895579.0,3670776.4285714286,1200035.6212200338,2040804.5,1366334.6237099082,2.1605239596936534,2.156993937544926,Paris,-1,False,True
2020-12-25,Ile-de-France,idfm_station_daily,validations,815634.0,4,0,12,2020,52,360,2137688.0,3373968.0,3168033.0,2093827.2857142857,747437.2934379501,2527866.933333333,797795.8229888338,-0.6184504006197349,-2.1462044347621236,Paris,-1,False,True
2024-09-10,Ile-de-France,idfm_station_daily,validations,767240.0,1,0,9,2024,37,254,784116.0,815270.0,860429.0,796684.0,21878.251455214297,826244.6,27518.51791460718,-0.021522325778328688,-2.1441779743770133,Paris,-1,False,True
2015-11-30,Ile-de-France,idfm_station_daily,validations,128498.0,0,0,11,2015,49,334,50884.0,5561682.0,5355810.0,3823895.5714285714,2713382.211083115,4341975.133333334,1971811.4069542093,1.5253124754343212,-2.13685604945442,Paris,-1,False,True
